EffectiveTime,FieldName,Region,Value
01/01/2017 00:00,CO2_INTENSITY,ROI,478
01/01/2017 00:15,CO2_INTENSITY,ROI,487
01/01/2017 00:30,CO2_INTENSITY,ROI,502
01/01/2017 00:45,CO2_INTENSITY,ROI,513
01/01/2017 01:00,CO2_INTENSITY,ROI,495
01/01/2017 01:15,CO2_INTENSITY,ROI,486
01/01/2017 01:30,CO2_INTENSITY,ROI,479
01/01/2017 01:45,CO2_INTENSITY,ROI,483
01/01/2017 02:00,CO2_INTENSITY,ROI,451
01/01/2017 02:15,CO2_INTENSITY,ROI,435
01/01/2017 02:30,CO2_INTENSITY,ROI,419
01/01/2017 02:45,CO2_INTENSITY,ROI,421
01/01/2017 03:00,CO2_INTENSITY,ROI,409
01/01/2017 03:15,CO2_INTENSITY,ROI,411
01/01/2017 03:30,CO2_INTENSITY,ROI,410
01/01/2017 03:45,CO2_INTENSITY,ROI,398
01/01/2017 04:00,CO2_INTENSITY,ROI,429
01/01/2017 04:15,CO2_INTENSITY,ROI,412
01/01/2017 04:30,CO2_INTENSITY,ROI,411
01/01/2017 04:45,CO2_INTENSITY,ROI,388
01/01/2017 05:00,CO2_INTENSITY,ROI,388
01/01/2017 05:15,CO2_INTENSITY,ROI,386
01/01/2017 05:30,CO2_INTENSITY,ROI,386
01/01/2017 05:45,CO2_INTENSITY,ROI,376
01/01/2017 06:00,CO2_INTENSITY,ROI,379
01/01/2017 06:15,CO2_INTENSITY,ROI,382
01/01/2017 06:30,CO2_INTENSITY,ROI,370
01/01/2017 06:45,CO2_INTENSITY,ROI,374
01/01/2017 07:00,CO2_INTENSITY,ROI,369
01/01/2017 07:15,CO2_INTENSITY,ROI,353
01/01/2017 07:30,CO2_INTENSITY,ROI,350
01/01/2017 07:45,CO2_INTENSITY,ROI,357
01/01/2017 08:00,CO2_INTENSITY,ROI,363
01/01/2017 08:15,CO2_INTENSITY,ROI,354
01/01/2017 08:30,CO2_INTENSITY,ROI,352
01/01/2017 08:45,CO2_INTENSITY,ROI,343
01/01/2017 09:00,CO2_INTENSITY,ROI,364
01/01/2017 09:15,CO2_INTENSITY,ROI,366
01/01/2017 09:30,CO2_INTENSITY,ROI,346
01/01/2017 09:45,CO2_INTENSITY,ROI,335
01/01/2017 10:00,CO2_INTENSITY,ROI,350
01/01/2017 10:15,CO2_INTENSITY,ROI,340
01/01/2017 10:30,CO2_INTENSITY,ROI,343
01/01/2017 10:45,CO2_INTENSITY,ROI,335
01/01/2017 11:00,CO2_INTENSITY,ROI,335
01/01/2017 11:15,CO2_INTENSITY,ROI,342
01/01/2017 11:30,CO2_INTENSITY,ROI,348
01/01/2017 11:45,CO2_INTENSITY,ROI,369
01/01/2017 12:00,CO2_INTENSITY,ROI,372
01/01/2017 12:15,CO2_INTENSITY,ROI,369
01/01/2017 12:30,CO2_INTENSITY,ROI,373
01/01/2017 12:45,CO2_INTENSITY,ROI,369
01/01/2017 13:00,CO2_INTENSITY,ROI,367
01/01/2017 13:15,CO2_INTENSITY,ROI,356
01/01/2017 13:30,CO2_INTENSITY,ROI,357
01/01/2017 13:45,CO2_INTENSITY,ROI,351
01/01/2017 14:00,CO2_INTENSITY,ROI,356
01/01/2017 14:15,CO2_INTENSITY,ROI,363
01/01/2017 14:30,CO2_INTENSITY,ROI,372
01/01/2017 14:45,CO2_INTENSITY,ROI,362
01/01/2017 15:00,CO2_INTENSITY,ROI,366
01/01/2017 15:15,CO2_INTENSITY,ROI,370
01/01/2017 15:30,CO2_INTENSITY,ROI,364
01/01/2017 15:45,CO2_INTENSITY,ROI,358
01/01/2017 16:00,CO2_INTENSITY,ROI,359
01/01/2017 16:15,CO2_INTENSITY,ROI,357
01/01/2017 16:30,CO2_INTENSITY,ROI,346
01/01/2017 16:45,CO2_INTENSITY,ROI,335
01/01/2017 17:00,CO2_INTENSITY,ROI,349
01/01/2017 17:15,CO2_INTENSITY,ROI,349
01/01/2017 17:30,CO2_INTENSITY,ROI,356
01/01/2017 17:45,CO2_INTENSITY,ROI,355
01/01/2017 18:00,CO2_INTENSITY,ROI,354
01/01/2017 18:15,CO2_INTENSITY,ROI,348
01/01/2017 18:30,CO2_INTENSITY,ROI,338
01/01/2017 18:45,CO2_INTENSITY,ROI,345
01/01/2017 19:00,CO2_INTENSITY,ROI,351
01/01/2017 19:15,CO2_INTENSITY,ROI,350
01/01/2017 19:30,CO2_INTENSITY,ROI,351
01/01/2017 19:45,CO2_INTENSITY,ROI,350
01/01/2017 20:00,CO2_INTENSITY,ROI,375
01/01/2017 20:15,CO2_INTENSITY,ROI,386
01/01/2017 20:30,CO2_INTENSITY,ROI,379
01/01/2017 20:45,CO2_INTENSITY,ROI,380
01/01/2017 21:00,CO2_INTENSITY,ROI,384
01/01/2017 21:15,CO2_INTENSITY,ROI,392
01/01/2017 21:30,CO2_INTENSITY,ROI,383
01/01/2017 21:45,CO2_INTENSITY,ROI,387
01/01/2017 22:00,CO2_INTENSITY,ROI,395
01/01/2017 22:15,CO2_INTENSITY,ROI,405
01/01/2017 22:30,CO2_INTENSITY,ROI,423
01/01/2017 22:45,CO2_INTENSITY,ROI,402
01/01/2017 23:00,CO2_INTENSITY,ROI,422
01/01/2017 23:15,CO2_INTENSITY,ROI,429
01/01/2017 23:30,CO2_INTENSITY,ROI,436
01/01/2017 23:45,CO2_INTENSITY,ROI,440
02/01/2017 00:00,CO2_INTENSITY,ROI,449
02/01/2017 00:15,CO2_INTENSITY,ROI,450
02/01/2017 00:30,CO2_INTENSITY,ROI,456
02/01/2017 00:45,CO2_INTENSITY,ROI,462
02/01/2017 01:00,CO2_INTENSITY,ROI,450
02/01/2017 01:15,CO2_INTENSITY,ROI,449
02/01/2017 01:30,CO2_INTENSITY,ROI,470
02/01/2017 01:45,CO2_INTENSITY,ROI,487
02/01/2017 02:00,CO2_INTENSITY,ROI,491
02/01/2017 02:15,CO2_INTENSITY,ROI,491
02/01/2017 02:30,CO2_INTENSITY,ROI,485
02/01/2017 02:45,CO2_INTENSITY,ROI,502
02/01/2017 03:00,CO2_INTENSITY,ROI,493
02/01/2017 03:15,CO2_INTENSITY,ROI,490
02/01/2017 03:30,CO2_INTENSITY,ROI,496
02/01/2017 03:45,CO2_INTENSITY,ROI,502
02/01/2017 04:00,CO2_INTENSITY,ROI,505
02/01/2017 04:15,CO2_INTENSITY,ROI,515
02/01/2017 04:30,CO2_INTENSITY,ROI,521
02/01/2017 04:45,CO2_INTENSITY,ROI,507
02/01/2017 05:00,CO2_INTENSITY,ROI,517
02/01/2017 05:15,CO2_INTENSITY,ROI,525
02/01/2017 05:30,CO2_INTENSITY,ROI,528
02/01/2017 05:45,CO2_INTENSITY,ROI,524
02/01/2017 06:00,CO2_INTENSITY,ROI,531
02/01/2017 06:15,CO2_INTENSITY,ROI,534
02/01/2017 06:30,CO2_INTENSITY,ROI,537
02/01/2017 06:45,CO2_INTENSITY,ROI,541
02/01/2017 07:00,CO2_INTENSITY,ROI,559
02/01/2017 07:15,CO2_INTENSITY,ROI,561
02/01/2017 07:30,CO2_INTENSITY,ROI,558
02/01/2017 07:45,CO2_INTENSITY,ROI,546
02/01/2017 08:00,CO2_INTENSITY,ROI,539
02/01/2017 08:15,CO2_INTENSITY,ROI,543
02/01/2017 08:30,CO2_INTENSITY,ROI,551
02/01/2017 08:45,CO2_INTENSITY,ROI,553
02/01/2017 09:00,CO2_INTENSITY,ROI,544
02/01/2017 09:15,CO2_INTENSITY,ROI,549
02/01/2017 09:30,CO2_INTENSITY,ROI,529
02/01/2017 09:45,CO2_INTENSITY,ROI,534
02/01/2017 10:00,CO2_INTENSITY,ROI,535
02/01/2017 10:15,CO2_INTENSITY,ROI,535
02/01/2017 10:30,CO2_INTENSITY,ROI,522
02/01/2017 10:45,CO2_INTENSITY,ROI,511
02/01/2017 11:00,CO2_INTENSITY,ROI,523
02/01/2017 11:15,CO2_INTENSITY,ROI,498
02/01/2017 11:30,CO2_INTENSITY,ROI,503
